Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?",Os requisitos de entrada de sargentos para a área funcional de Operações Especiais em termos de altura e escolaridade são os seguintes:  - **Altura:** 160 cm - 190 cm (masculino) e 156 cm - 190 cm (feminino). - **Escolaridade mínima:** 9º Ano.,"Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",20.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?,"A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército, localizada em Caldas da Rainha.","A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",100.0
3,Qual é a remuneração total de um General (GEN) em 2024?,"A remuneração total de um General (GEN) em 2024 é de 6 558,53 €.","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",100.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?","Um Cad Aluno do 1º Ano ganha uma remuneração base (RB) de 203,51 €.","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",100.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?","A remuneração total de um Sargento-Ajudante (SAJ), NR 23, é de 2 205,29 €.","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",100.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?,O código de transação SAP mencionado para iniciar o processo de Alteração de Horário é PA40.,O código de transação mencionado para a medida de Alteração de Horário é PA40.,100.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?",Não sei a resposta.,O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,0.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?,"Para aceder ao relatório Síntese de datas, deve utilizar o código de transação S_PH0_48000450. O caminho é: Menu HR – Recursos Humanos > Gestão de Pessoal > Assiduidades > Relatórios > Síntese de datas.",Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,95.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?,"A área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.","A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",100.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?,"As condições essenciais de altura para a área funcional Vigilância do Campo de Batalha são de 165cm a 180cm, tanto para feminino como para masculino.",As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,100.0
11,Qual é a remuneração total de um Tenente-General (TGEN) com PR 2 em 2024?,"A remuneração total de um Tenente-General (TGEN) com PR 2 em 2024 é de 5 496,86 €.","A remuneração total de um Tenente-General (TGEN) PR 2 é 5.496,86 €.",95.0
12,"Quantas horas de trabalho suplementar por ano são permitidas, por trabalhador, segundo a lei geral?","Segundo a lei geral, o trabalho suplementar está sujeito aos seguintes limites por trabalhador: 150 horas de trabalho por ano, duas horas por dia normal de trabalho, um número de horas igual ao período normal de trabalho diário em dias de descanso semanal, obrigatório ou complementar, e um número de horas igual a meio período normal de trabalho diário em meio dia de descanso complementar.","O limite de trabalho suplementar é de 150 horas de trabalho por ano, por trabalhador.",80.0
13,Qual o número máximo de horas de trabalho suplementar por dia normal de trabalho?,O número máximo de horas de trabalho suplementar por dia normal de trabalho é de duas horas.,O limite é de duas horas por dia normal de trabalho.,100.0
14,Qual o Infotipo utilizado para registar contingentes de presença no SIGRHV?,O Infotipo utilizado para registar contingentes de presença no SIGRHV é o Infotipo 2006 - Contingente de Ausências.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,20.0
15,Qual é o Infotipo do SIGRHV utilizado para registar contingentes de presença?,O Infotipo do SIGRHV utilizado para registar contingentes de presença é o 2007 – Contingentes de Presenças.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,95.0
16,Quais são as penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva?,As penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva são as seguintes:  a) Reforma compulsiva;   b) Separação de serviço.,"As penas disciplinares aplicáveis aos militares dos quadros permanentes no ativo ou reserva são: repreensão, repreensão agravada, proibição de saída, suspensão de serviço, prisão disciplinar, reforma compulsiva e separação de serviço.",30.0
17,Qual a duração máxima da pena de proibição de saída?,A duração máxima da pena de proibição de saída é de 20 dias.,A pena de proibição de saída tem duração não superior a 20 dias.,100.0
18,O que consiste a pena de repreensão agravada para oficiais e sargentos?,"A pena de repreensão agravada para oficiais e sargentos consiste na declaração feita ao infractor de que sofre reparo por ter praticado uma infracção disciplinar, sendo dada na presença de outros oficiais ou sargentos, respectivamente de posto superior ou igual, mas mais antigos, da unidade, estabelecimento ou órgão a que o infractor pertencer ou em que estiver apresentado.","A repreensão agravada a oficiais e sargentos é dada na presença de outros oficiais ou sargentos, respetivamente de posto superior ou igual, mas, neste caso, mais antigos, da unidade, estabelecimento ou órgão a que o infrator pertencer.",95.0
19,Qual é o período de suspensão de serviço que pode ser aplicado como pena disciplinar?,O período de suspensão de serviço que pode ser aplicado como pena disciplinar varia entre cinco e 90 dias.,"A pena de suspensão de serviço traduz-se no afastamento completo do serviço por um período que for fixado, entre cinco e 90 dias.",95.0
20,A que consiste a pena de separação de serviço?,"A pena de separação de serviço consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma. Esta pena é aplicável ao militar cujo comportamento, pela sua excepcional gravidade, se revele incompatível com a permanência nos quadros das Forças Armadas.","A separação de serviço consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.",95.0
21,Qual o código de transação para atualizar dados mestre de pessoal no SIGRHV?,O código de transação para atualizar dados mestre de pessoal no SIGRHV é PA30.,O código de transação para atualizar dados mestre de pessoal é PA30.,100.0
22,Qual é o Infotipo utilizado para registar movimentos e mobilidades de pessoal?,O Infotipo utilizado para registar movimentos e mobilidades de pessoal é o Infotipo 9011 – Movimentos Mobilidade.,O Infotipo utilizado para registar movimentos e mobilidades é o IT 9011 - Movimentos e Mobilidades.,95.0
23,Que medida deve ser executada para registar uma reclassificação de um militar?,"A medida que deve ser executada para registar uma reclassificação de um militar é a ""Reclassificação / Transferência de Quadro Especial"". Esta medida irá apresentar ao utilizador, entre outros, o IT0337 – Categoria / Posto, onde deverá ser registada a nova especialidade do militar, e o IT “Medidas Publicadas”, para o registo do Despacho autorizador.","A medida a executar é Reclassificação / Transferência de Quadro Especial, onde será registada a nova especialidade no IT0337 – Categoria / Posto.",85.0
24,Onde devem ser registados os documentos que constituem o Processo Individual do militar?,"Os documentos que constituem o Processo Individual do militar devem ser registados, numerados e classificados, e são arquivados em capa, onde se indica o Comando Funcional, a U/E/O, o número de identificação do militar, o posto/categoria, quadro especial ou área funcional e o nome completo.","Os documentos devem ser registados no IT Índice de documentos (IT 9009), que tem como objetivo o registo dos vários documentos que irão constituir o Processo Individual do militar.",60.0
25,Qual é a área geográfica de prestação de serviço preferencial para Operações Especiais de Sargentos?,A área geográfica de prestação de serviço preferencial para Operações Especiais de Sargentos é Lamego.,A área geográfica de prestação de serviço preferencial para Operações Especiais é Lamego.,100.0
26,Quantas especialidades existem para admissão de Praças em Regime de Contrato Especial (RCE)?,Existem 14 especialidades para admissão de Praças em Regime de Contrato Especial (RCE).,Existem 14 especialidades para a admissão de Praças em Regime de Contrato Especial.,100.0
27,Qual a escolaridade mínima exigida para admissão como Praça em RCE?,A escolaridade mínima exigida para admissão como Praça em Regime de Contrato Especial (RCE) é o ensino secundário completo (12º ano) ou habilitações legalmente equivalentes ao Nível 3 do Quadro Nacional de Qualificações.,"É necessário o Ensino Secundário completo (12º ano), ou habilitações legalmente equivalentes ao Nível 3 do Quadro Nacional de Qualificações.",98.0
28,Quantos turnos de incorporação CFO/CEFO/CFS estavam previstos para 2024 segundo o Plano de Formação Anual?,"Estavam previstos dois turnos de incorporação CFO/CEFO/CFS para 2024, conforme o Plano de Formação Anual.",Estavam previstos dois (02) turnos de incorporação CFO/CEFO/CFS no decorrer de 2024.,98.0
29,Qual era o efetivo máximo previsto para o 1º CFO/CEFO/CFS 2024?,O efetivo máximo previsto para o 1º CFO/CEFO/CFS 2024 era de 96 Oficiais e 135 Sargentos.,Estava previsto um efetivo máximo de 96 Oficiais e 135 Sargentos para o 1º CFO/CEFO/CFS 2024.,100.0
30,Qual é a remuneração base de um Major (MAJ) PR 3 em 2024?,"A remuneração base de um Major (MAJ) PR 3 em 2024 é de 2 620,23 €.","A remuneração base (RB) de um Major (MAJ) PR 3 é 2.620,23 €.",100.0
31,Qual a remuneração total de um 1º Sargento (1SAR) NR 20 em 2024?,"A remuneração total de um 1º Sargento (1SAR) NR 20 em 2024 é de 2 015,82 €.","A remuneração total de um 1º Sargento (1SAR) NR 20 é 2.015,82 €.",100.0
32,Quantos anos de serviço efetivo são necessários para obter a medalha de ouro de comportamento exemplar?,São necessários 30 anos de serviço efetivo para obter a medalha de ouro de comportamento exemplar.,"São necessários 30 anos de serviço efetivo, sem qualquer pena disciplinar ou criminal, para obter a medalha de ouro de comportamento exemplar.",90.0
33,Quantos anos de serviço são necessários para a medalha de prata de comportamento exemplar?,São necessários 15 anos de serviço efectivo para a medalha de prata de comportamento exemplar.,São necessários 15 anos de serviço efetivo sem qualquer pena disciplinar ou criminal para a medalha de prata de comportamento exemplar.,90.0
34,Quais são as bases do Sistema de Avaliação do Mérito dos Militares das Forças Armadas (SAMMFA)?,As bases do Sistema de Avaliação do Mérito dos Militares das Forças Armadas (SAMMF A) são:  a) A avaliação individual (AI);   b) A avaliação da formação (AF);   c) A avaliação disciplinar (AD);   d) A antiguidade no posto (AP);   e) A avaliação complementar (AC).,"As bases do SAMMFA são: a avaliação individual (AI), a avaliação da formação (AF), a avaliação disciplinar (AD), a antiguidade no posto (AP) e a avaliação complementar (AC).",100.0
35,"Segundo a Lei Geral do Trabalho em Funções Públicas, qual é o limite máximo da sanção disciplinar de multa (por infração e por ano)?","O limite máximo da sanção disciplinar de multa, segundo a Lei Geral do Trabalho em Funções Públicas, é fixado em quantia certa e não pode exceder o valor correspondente a seis remunerações base diárias por cada infração e um valor total correspondente à remuneração base de 90 dias por ano.",A sanção de multa não pode exceder o valor correspondente a seis remunerações base diárias por cada infração e um valor total correspondente à remuneração base de 90 dias por ano.,100.0
36,Como é calculada a antiguidade no posto para efeitos de promoção?,"A antiguidade no posto para efeitos de promoção é calculada com base no tempo de serviço efetivo no respetivo posto, contabilizado a partir da data fixada no documento oficial de promoção e medido em dias. Cada dia de serviço efetivo é atribuído um valor de 0,005 valores, e a soma dos valores é arredondada às centésimas. Para a promoção por escolha, ao valor apurado é descontado o valor correspondente ao número de anos igual ao menor dos tempos mínimos no posto, conforme estabelecido no EMFAR.","Para a quantificação da antiguidade é atribuído a cada dia de serviço efetivo um valor de 0,005 valores, sendo a soma dos valores arredondada às centésimas.",85.0
37,Qual é o Infotipo SAP utilizado para registar o posto ou categoria profissional de militares?,O Infotipo SAP utilizado para registar o posto ou categoria profissional de militares é o Infotipo 0337.,O Infotipo utilizado é o IT 0337 - Posto / Categoria Profissional.,95.0
38,Qual a finalidade do SAMMFA?,"A finalidade do SAMMFA é determinar o mérito do militar, tendo em vista uma correta gestão dos recursos humanos nos ramos das Forças Armadas, designadamente quanto a: recrutamento e seleção, formação e aperfeiçoamento, promoção, progressão horizontal, desempenho de cargos e exercício de funções, e renovação contratual. Além disso, visa compatibilizar as competências do avaliado com os interesses e as necessidades da instituição militar, contribuir para incentivar o cumprimento das missões e tarefas, e atualizar e melhorar o conhecimento do potencial humano existente.","O SAMMFA tem por finalidade determinar o mérito do militar, tendo em vista uma correta gestão dos recursos humanos, designadamente quanto a recrutamento e seleção, formação, promoção, progressão horizontal, desempenho de cargos e renovação contratual.",85.0
39,Qual é o limite máximo de dias que pode ser aplicado como sanção de suspensão para trabalhadores em funções públicas?,"O limite máximo de dias que pode ser aplicado como sanção de suspensão para trabalhadores em funções públicas é de 90 dias por cada infração e, em cada ano civil, o total de 240 dias.","A sanção de suspensão varia entre 20 e 90 dias por cada infração, num máximo de 240 dias por ano.",95.0
40,Quais são as sanções disciplinares aplicáveis aos trabalhadores em funções públicas?,"As sanções disciplinares aplicáveis aos trabalhadores em funções públicas são as seguintes:  a) Repreensão escrita;   b) Multa;   c) Suspensão;   d) Despedimento disciplinar ou demissão.    Além disso, aos titulares de cargos dirigentes e equiparados é aplicável a sanção disciplinar de cessação da comissão de serviço, a título principal ou acessório.","As sanções disciplinares aplicáveis são: repreensão escrita, multa, suspensão, despedimento disciplinar ou demissão.",85.0
41,Qual é o prazo de prescrição do procedimento disciplinar quando o trabalhador não foi notificado da decisão final?,"O procedimento disciplinar prescreve decorridos 18 meses, a contar da data em que foi instaurado, quando, nesse prazo, o trabalhador não tenha sido notificado da decisão final.","O procedimento disciplinar prescreve decorridos 18 meses, a contar da data em que foi instaurado, quando o trabalhador não tenha sido notificado da decisão final nesse prazo.",95.0
42,Qual o valor máximo que pode ter a sanção de multa para trabalhadores em funções públicas?,A sanção de multa é fixada em quantia certa e não pode exceder o valor correspondente a seis remunerações base diárias por cada infração e um valor total correspondente à remuneração base de 90 dias por ano.,A sanção de multa não pode exceder o valor correspondente a seis remunerações base diárias por cada infração e um valor total correspondente à remuneração base de 90 dias por ano.,100.0
43,Quais são as carreiras gerais no âmbito da função pública?,As carreiras gerais no âmbito da função pública são:  a) Técnico superior;   b) Assistente técnico;   c) Assistente operacional.,"São carreiras gerais: Técnico Superior, Assistente Técnico e Assistente Operacional.",95.0
44,Quantas posições remuneratórias mínimas tem a categoria inferior numa carreira pluricategorial?,A categoria inferior numa carreira pluricategorial corresponde a um número mínimo de oito posições remuneratórias.,À categoria inferior corresponde um número mínimo de oito posições remuneratórias.,100.0
45,Quantos pontos são necessários para alterar obrigatoriamente de posição remuneratória na carreira de trabalhador em funções públicas?,São necessários 8 pontos para alterar obrigatoriamente de posição remuneratória na carreira de trabalhador em funções públicas.,É necessário acumular 8 pontos nas avaliações do desempenho para haver alteração obrigatória para a posição remuneratória imediatamente seguinte.,100.0
46,Que valor corresponde a uma menção máxima em termos de pontos para progressão na carreira?,Uma menção máxima corresponde a três pontos para a progressão na carreira.,Uma menção máxima corresponde a três pontos para efeitos de alteração de posicionamento remuneratório.,95.0
47,Qual o Infotipo utilizado para registar ausências no SIGRHV?,O Infotipo utilizado para registar ausências no SIGRHV é o 2001 - Ausências.,O Infotipo utilizado para registar ausências é o IT 2001 - Ausências.,95.0
48,"Em que Infotipo do SIGRHV devem ser registadas ausências, como por exemplo o descanso compensatório?","As ausências, como o descanso compensatório, devem ser registadas no Infotipo 2001 - Ausências.",As ausências devem ser registadas no IT 2001 - Ausências.,100.0
49,Quais são os requisitos de altura para oficiais na área funcional Sapador de Engenharia?,Os requisitos de altura para oficiais na área funcional Sapador de Engenharia são: 156 cm (feminino) e 160 cm (masculino).,Os requisitos de altura para oficiais na área funcional Sapador de Engenharia são 156cm (feminino) e 160cm (masculino).,100.0
50,Qual é a área geográfica de prestação de serviço preferencial para a área funcional Sapador de Engenharia?,"A área geográfica de prestação de serviço preferencial para a área funcional Sapador de Engenharia é Espinho, S. Margarida e Tancos.","A área geográfica de prestação de serviço preferencial para Sapador de Engenharia é Espinho, S. Margarida e Tancos.",100.0
